name,local-authority
north ayrshire,local-authority-sct:NAY
north ayrshire council,local-authority-sct:NAY
north devon,local-authority-eng:NDE
north devon council,local-authority-eng:NDE
north devon district,local-authority-eng:NDE
north dorset,local-authority-eng:NDO
north dorset district,local-authority-eng:NDO
north dorset district council,local-authority-eng:NDO
north down and ards,local-authority-nir:AND
north east lincolnshire,local-authority-eng:NEL
north east lincolnshire council,local-authority-eng:NEL
north lanarkshire,local-authority-sct:NLK
north lanarkshire council,local-authority-sct:NLK
north lincolnshire,local-authority-eng:NLN
north lincolnshire council,local-authority-eng:NLN
north somerset,local-authority-eng:NSM
north somerset council,local-authority-eng:NSM
north tyneside,local-authority-eng:NTY
north tyneside council,local-authority-eng:NTY
north tyneside district,local-authority-eng:NTY
north west leicestershire,local-authority-eng:NWL
north west leicestershire district,local-authority-eng:NWL
north west leicestershire district council,local-authority-eng:NWL
north west somerset,local-authority-eng:NSM
north yorkshire,local-authority-eng:NYK
north yorkshire county,local-authority-eng:NYK
north yorkshire county council,local-authority-eng:NYK
northamptonshire,local-authority-eng:NTH
northamptonshire county,local-authority-eng:NTH
northamptonshire county council,local-authority-eng:NTH
northumberland,local-authority-eng:NBL
northumberland council,local-authority-eng:NBL
nottingham,local-authority-eng:NGM
nottingham city,local-authority-eng:NGM
nottingham city council,local-authority-eng:NGM
nottinghamshire,local-authority-eng:NTT
nottinghamshire county,local-authority-eng:NTT
nottinghamshire county council,local-authority-eng:NTT
oldham,local-authority-eng:OLD
oldham district,local-authority-eng:OLD
oldham metropolitan borough council,local-authority-eng:OLD
orkney,local-authority-sct:ORK
orkney islands,local-authority-sct:ORK
orkney islands council,local-authority-sct:ORK
oxfordshire,local-authority-eng:OXF
oxfordshire county,local-authority-eng:OXF
oxfordshire county council,local-authority-eng:OXF
pembrokeshire,local-authority-wls:PEM
pembrokeshire county council,local-authority-wls:PEM
pen-y-bont ar ogwr,local-authority-wls:BGE
perth and kinross,local-authority-sct:PKN
perth and kinross council,local-authority-sct:PKN
peterborough,local-authority-eng:PTE
peterborough city,local-authority-eng:PTE
peterborough city council,local-authority-eng:PTE
plymouth,local-authority-eng:PLY
plymouth city,local-authority-eng:PLY
plymouth city council,local-authority-eng:PLY
poole,local-authority-eng:POL
portsmouth,local-authority-eng:POR
portsmouth city council,local-authority-eng:POR
powys,local-authority-wls:POW
powys county council,local-authority-wls:POW
reading,local-authority-eng:RDG
reading borough council,local-authority-eng:RDG
redbridge,local-authority-eng:RDB
redbridge london boro,local-authority-eng:RDB
redcar and cleveland,local-authority-eng:RCC
redcar and cleveland borough council,local-authority-eng:RCC
renfrewshire,local-authority-sct:RFW
renfrewshire council,local-authority-sct:RFW
rhondda cynon taf,local-authority-wls:RCT
rhondda cynon taf county borough council,local-authority-wls:RCT
rhondda cynon taff,local-authority-wls:RCT
"rhondda, cynon, taff",local-authority-wls:RCT
"rhondda,cynon,taff",local-authority-wls:RCT
richmond upon thames,local-authority-eng:RIC
richmond upon thames london boro,local-authority-eng:RIC
richmond-upon-thames,local-authority-eng:RIC
richmondshire,local-authority-eng:RIH
richmondshire district,local-authority-eng:RIH
richmondshire district council,local-authority-eng:RIH
rochdale,local-authority-eng:RCH
rochdale district,local-authority-eng:RCH
rochdale metropolitan borough council,local-authority-eng:RCH
rotherham,local-authority-eng:ROT
rotherham district,local-authority-eng:ROT
rotherham metropolitan borough council,local-authority-eng:ROT
royal borough of greenwich,local-authority-eng:GRE
royal borough of kensington and chelsea,local-authority-eng:KEC
royal borough of kingston upon thames,local-authority-eng:KTT
royal borough of windsor and maidenhead,local-authority-eng:WNM
rutland,local-authority-eng:RUT
rutland county council,local-authority-eng:RUT
salford,local-authority-eng:SLF
salford city council,local-authority-eng:SLF
salford district,local-authority-eng:SLF
sandwell,local-authority-eng:SAW
sandwell district,local-authority-eng:SAW
sandwell metropolitan borough council,local-authority-eng:SAW
scarborough,local-authority-eng:SCE
scarborough borough council,local-authority-eng:SCE
scarborough district,local-authority-eng:SCE
scottish borders,local-authority-sct:SCB
sefton,local-authority-eng:SFT
sefton council,local-authority-eng:SFT
sefton district,local-authority-eng:SFT
sefton metropolitan borough council,local-authority-eng:SFT
sheffield,local-authority-eng:SHF
sheffield city council,local-authority-eng:SHF
sheffield district,local-authority-eng:SHF
shetland,local-authority-sct:ZET
shetland islands,local-authority-sct:ZET
shetland islands council,local-authority-sct:ZET
shropshire,local-authority-eng:SHR
shropshire council,local-authority-eng:SHR
sir benfro,local-authority-wls:PEM
sir ddinbych,local-authority-wls:DEN
sir fynwy,local-authority-wls:MON
sir gaerfyrddin,local-authority-wls:CMN
sir y fflint,local-authority-wls:FLN
slough,local-authority-eng:SLG
slough borough council,local-authority-eng:SLG
somerset,local-authority-eng:SOM
somerset county,local-authority-eng:SOM
somerset county council,local-authority-eng:SOM
south ayrshire,local-authority-sct:SAY
south ayrshire council,local-authority-sct:SAY
south ayshire,local-authority-sct:SAY
south gloucestershire,local-authority-eng:SGC
south gloucestershire council,local-authority-eng:SGC
south hams,local-authority-eng:SHA
south hams district,local-authority-eng:SHA
south hams district council,local-authority-eng:SHA
south holland,local-authority-eng:SHO
south holland district,local-authority-eng:SHO
south holland district council,local-authority-eng:SHO
south lakeland,local-authority-eng:SLA
south lakeland district,local-authority-eng:SLA
south lakeland district council,local-authority-eng:SLA
south lanarkshire,local-authority-sct:SLK
south lanarkshire council,local-authority-sct:SLK
south oxfordshire,local-authority-eng:SOX
south oxfordshire district,local-authority-eng:SOX
south oxfordshire district council,local-authority-eng:SOX
south staffordshire,local-authority-eng:SST
south staffordshire council,local-authority-eng:SST
south staffordshire district,local-authority-eng:SST
south tyneside,local-authority-eng:STY
south tyneside council,local-authority-eng:STY
south tyneside district,local-authority-eng:STY
southampton,local-authority-eng:STH
southampton city council,local-authority-eng:STH
southwark,local-authority-eng:SWK
southwark london boro,local-authority-eng:SWK
st helens,local-authority-eng:SHN
st helens council,local-authority-eng:SHN
st. helens,local-authority-eng:SHN
st. helens district,local-authority-eng:SHN
stafford,local-authority-eng:STA
stafford borough council,local-authority-eng:STA
stafford district,local-authority-eng:STA
staffordshire,local-authority-eng:STS
staffordshire county,local-authority-eng:STS
staffordshire county council,local-authority-eng:STS
stevenage,local-authority-eng:STV
stevenage borough council,local-authority-eng:STV
stevenage district,local-authority-eng:STV
stirling,local-authority-sct:STG
stirling council,local-authority-sct:STG
stockport,local-authority-eng:SKP
stockport district,local-authority-eng:SKP
stockport metropolitan borough council,local-authority-eng:SKP
stockton on tees,local-authority-eng:STT
stockton-on-tees,local-authority-eng:STT
stockton-on-tees borough council,local-authority-eng:STT
suffolk,local-authority-eng:SFK
suffolk county,local-authority-eng:SFK
suffolk county council,local-authority-eng:SFK
sunderland,local-authority-eng:SND
sunderland city council,local-authority-eng:SND
sunderland district,local-authority-eng:SND
