entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
211,2016-10-21T16:11:20Z,EHE,NMD,Non-metropolitan district,East Hertfordshire District Council,East Hertfordshire,,,,E07000242,26UD,
210,2016-10-21T16:11:20Z,DAC,NMD,Non-metropolitan district,Dacorum Borough Council,Dacorum,,,,E07000096,26UC,
209,2016-10-21T16:11:20Z,BRX,NMD,Non-metropolitan district,Broxbourne Borough Council,Broxbourne,,,,E07000095,26UB,
208,2016-10-21T16:11:20Z,HRT,CTY,County,Hertfordshire County Council,Hertfordshire,,,,E10000015,919,26-00
207,2016-10-21T16:11:20Z,WIN,NMD,Non-metropolitan district,Winchester City Council,Winchester,,,,E07000094,24UP,
206,2016-10-21T16:11:20Z,TES,NMD,Non-metropolitan district,Test Valley Borough Council,Test Valley,,,,E07000093,24UN,
205,2016-10-21T16:11:20Z,RUH,NMD,Non-metropolitan district,Rushmoor Borough Council,Rushmoor,,,,E07000092,24UL,
204,2016-10-21T16:11:20Z,NEW,NMD,Non-metropolitan district,New Forest District Council,New Forest,,,,E07000091,24UJ,
203,2016-10-21T16:11:20Z,HAA,NMD,Non-metropolitan district,Havant Borough Council,Havant,,,,E07000090,24UH,
202,2016-10-21T16:11:20Z,HAT,NMD,Non-metropolitan district,Hart District Council,Hart,,,,E07000089,24UG,
201,2016-10-21T16:11:20Z,GOS,NMD,Non-metropolitan district,Gosport Borough Council,Gosport,,,,E07000088,24UF,
200,2016-10-21T16:11:20Z,FAR,NMD,Non-metropolitan district,Fareham Borough Council,Fareham,,,,E07000087,24UE,
199,2016-10-21T16:11:20Z,EAT,NMD,Non-metropolitan district,Eastleigh Borough Council,Eastleigh,,,,E07000086,24UD,
198,2016-10-21T16:11:20Z,EHA,NMD,Non-metropolitan district,East Hampshire District Council,East Hampshire,,,,E07000085,24UC,
197,2016-10-21T16:11:20Z,BAN,NMD,Non-metropolitan district,Basingstoke and Deane Borough Council,Basingstoke and Deane,Basingstoke & Deane,,,E07000084,24UB,
196,2016-10-21T16:11:20Z,HAM,CTY,County,Hampshire County Council,Hampshire,,,,E10000014,850,24-00
195,2016-10-21T16:11:20Z,TEW,NMD,Non-metropolitan district,Tewkesbury Borough Council,Tewkesbury,,,,E07000083,23UG,
194,2016-10-21T16:11:20Z,STO,NMD,Non-metropolitan district,Stroud District Council,Stroud,,,,E07000082,23UF,
193,2016-10-21T16:11:20Z,GLO,NMD,Non-metropolitan district,Gloucester City Council,Gloucester,,,,E07000081,23UE,
192,2016-10-21T16:11:20Z,FOE,NMD,Non-metropolitan district,Forest of Dean District Council,Forest of Dean,,,,E07000080,23UD,
191,2016-10-21T16:11:20Z,COT,NMD,Non-metropolitan district,Cotswold District Council,Cotswold,,,,E07000079,23UC,
190,2016-10-21T16:11:20Z,CHT,NMD,Non-metropolitan district,Cheltenham Borough Council,Cheltenham,,,,E07000078,23UB,
189,2016-10-21T16:11:20Z,GLS,CTY,County,Gloucestershire County Council,Gloucestershire,,,,E10000013,916,23-00
188,2016-10-21T16:11:20Z,WSM,LBO,London borough,City of Westminster,Westminster,,,,E09000033,213,
187,2016-10-21T16:11:20Z,WND,LBO,London borough,London Borough of Wandsworth,Wandsworth,,,,E09000032,212,
186,2016-10-21T16:11:20Z,WFT,LBO,London borough,London Borough of Waltham Forest,Waltham Forest,,,,E09000031,320,
185,2016-10-21T16:11:20Z,TWH,LBO,London borough,London Borough of Tower Hamlets,Tower Hamlets,,,,E09000030,211,
184,2016-10-21T16:11:20Z,SWK,LBO,London borough,London Borough of Southwark,Southwark,,,,E09000028,210,
183,2016-10-21T16:11:20Z,STN,LBO,London borough,London Borough of Sutton,Sutton,,,,E09000029,319,
182,2016-10-21T16:11:20Z,RIC,LBO,London borough,London Borough of Richmond upon Thames,Richmond upon Thames,,,,E09000027,318,
181,2016-10-21T16:11:20Z,RDB,LBO,London borough,London Borough of Redbridge,Redbridge,,,,E09000026,317,
180,2016-10-21T16:11:20Z,NWM,LBO,London borough,London Borough of Newham,Newham,,,,E09000025,316,
179,2016-10-21T16:11:20Z,MRT,LBO,London borough,London Borough of Merton,Merton,,,,E09000024,315,
178,2016-10-21T16:11:20Z,LEW,LBO,London borough,London Borough of Lewisham,Lewisham,,,,E09000023,209,
177,2016-10-21T16:11:20Z,LBH,LBO,London borough,London Borough of Lambeth,Lambeth,,,,E09000022,208,
176,2016-10-21T16:11:20Z,KTT,LBO,London borough,Royal Borough of Kingston upon Thames,Kingston upon Thames,,,,E09000021,314,
175,2016-10-21T16:11:20Z,KEC,LBO,London borough,Royal Borough of Kensington and Chelsea,Kensington and Chelsea,Kensington & Chelsea,,,E09000020,207,
174,2016-10-21T16:11:20Z,ISL,LBO,London borough,London Borough of Islington,Islington,,,,E09000019,206,
173,2016-10-21T16:11:20Z,HRY,LBO,London borough,London Borough of Haringey,Haringey,,,,E09000014,309,
172,2016-10-21T16:11:20Z,HRW,LBO,London borough,London Borough of Harrow,Harrow,,,,E09000015,310,
171,2016-10-21T16:11:20Z,HNS,LBO,London borough,London Borough of Hounslow,Hounslow,,,,E09000018,313,
170,2016-10-21T16:11:20Z,HMF,LBO,London borough,London Borough of Hammersmith & Fulham,Hammersmith and Fulham,Hammersmith & Fulham,,,E09000013,205,
169,2016-10-21T16:11:20Z,HIL,LBO,London borough,London Borough of Hillingdon,Hillingdon,,,,E09000017,312,
168,2016-10-21T16:11:20Z,HCK,LBO,London borough,London Borough of Hackney,Hackney,,,,E09000012,204,
167,2016-10-21T16:11:20Z,HAV,LBO,London borough,London Borough of Havering,Havering,,,,E09000016,311,
166,2016-10-21T16:11:20Z,GRE,LBO,London borough,Royal Borough of Greenwich,Greenwich,,,,E09000011,203,
165,2016-10-21T16:11:20Z,ENF,LBO,London borough,London Borough of Enfield,Enfield,,,,E09000010,308,
164,2016-10-21T16:11:20Z,EAL,LBO,London borough,London Borough of Ealing,Ealing,,,,E09000009,307,
163,2016-10-21T16:11:20Z,CRY,LBO,London borough,London Borough of Croydon,Croydon,,,,E09000008,306,
162,2016-10-21T16:11:20Z,CMD,LBO,London borough,London Borough of Camden,Camden,,,,E09000007,202,
