Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,GRY,local-authority-eng:GRY,NMD,Non-metropolitan district,NFK,Great Yarmouth Borough Council,Great Yarmouth,,,,,E07000145,,33UD,,33UD,7000000000006390,E2633,
local-authority-eng,BRO,local-authority-eng:BRO,NMD,Non-metropolitan district,NFK,Broadland District Council,Broadland,,,,,E07000144,,33UC,,33UC,7000000000006550,E2632,
local-authority-eng,BRE,local-authority-eng:BRE,NMD,Non-metropolitan district,NTH,Breckland District Council,Breckland,,,,,E07000143,,33UB,,33UB,7000000000006910,E2631,
local-authority-eng,NFK,local-authority-eng:NFK,CTY,County,,Norfolk County Council,Norfolk,,,,,E10000020,,926,33-00,33,7000000000007230,E2620,
local-authority-eng,WLI,local-authority-eng:WLI,NMD,Non-metropolitan district,NFK,West Lindsey District Council,West Lindsey,,,,,E07000142,,32UH,,32UH,7000000000043520,E2537,
local-authority-eng,SKE,local-authority-eng:SKE,NMD,Non-metropolitan district,LIN,South Kesteven District Council,South Kesteven,,,,,E07000141,,32UG,,32UG,7000000000005550,E2536,
local-authority-eng,SHO,local-authority-eng:SHO,NMD,Non-metropolitan district,LIN,South Holland District Council,South Holland,,,,,E07000140,,32UF,,32UF,7000000000005590,E2535,
local-authority-eng,NKE,local-authority-eng:NKE,NMD,Non-metropolitan district,LIN,North Kesteven District Council,North Kesteven,,,,,E07000139,,32UE,,32UE,7000000000005540,E2534,
local-authority-eng,LIC,local-authority-eng:LIC,NMD,Non-metropolitan district,LIN,City of Lincoln Council,City of Lincoln,Lincoln,,,,E07000138,,32UD,,32UD,7000000000005710,E2533,
local-authority-eng,ELI,local-authority-eng:ELI,NMD,Non-metropolitan district,LIN,East Lindsey District Council,East Lindsey,,,,,E07000137,,32UC,,32UC,7000000000005310,E2532,
local-authority-eng,BOT,local-authority-eng:BOT,NMD,Non-metropolitan district,LIN,Boston Borough Council,Boston,,,,,E07000136,,32UB,,32UB,7000000000005300,E2531,
local-authority-eng,LIN,local-authority-eng:LIN,CTY,County,,Lincolnshire County Council,Lincolnshire,,,,,E10000019,,925,32-00,32,7000000000005940,E2520,
local-authority-eng,OAD,local-authority-eng:OAD,NMD,Non-metropolitan district,LEC,Oadby and Wigston Borough Council,Oadby and Wigston,Oadby & Wigston,,,,E07000135,,31UJ,,31UJ,7000000000023410,E2438,
