name,local-authority,,
flintshire county council,local-authority-wls:FLN,FLN,FLN
gateshead,local-authority-eng:GAT,GAT,GAT
gateshead district,local-authority-eng:GAT,GAT,GAT
gateshead metropolitan borough council,local-authority-eng:GAT,GAT,GAT
glasgow,local-authority-sct:GLG,GLG,GLG
glasgow city,local-authority-sct:GLG,GLG,GLG
glasgow city coucil,local-authority-sct:GLG,GLG,GLG
glasgow city council,local-authority-sct:GLG,GLG,GLG
gloucestershire,local-authority-eng:GLS,GLS,GLS
gloucestershire county,local-authority-eng:GLS,GLS,GLS
gloucestershire county council,local-authority-eng:GLS,GLS,GLS
great yarmouth,local-authority-eng:GRY,GRY,GRY
great yarmouth borough council,local-authority-eng:GRY,GRY,GRY
great yarmouth district,local-authority-eng:GRY,GRY,GRY
greater london,local-authority-eng:GLA,GLA,GLA
greenwich,local-authority-eng:GRE,GRE,GRE
greenwich london boro,local-authority-eng:GRE,GRE,GRE
gwynedd,local-authority-wls:GWN,GWN,GWN
gwynedd council,local-authority-wls:GWN,GWN,GWN
hackney,local-authority-eng:HCK,HCK,HCK
hackney london boro,local-authority-eng:HCK,HCK,HCK
halton,local-authority-eng:HAL,HAL,HAL
halton borough council,local-authority-eng:HAL,HAL,HAL
hammersmith and fulham,local-authority-eng:HMF,HMF,HMF
hammersmith and fulham london boro,local-authority-eng:HMF,HMF,HMF
hampshire,local-authority-eng:HAM,HAM,HAM
hampshire county,local-authority-eng:HAM,HAM,HAM
hampshire county council,local-authority-eng:HAM,HAM,HAM
haringey,local-authority-eng:HRY,HRY,HRY
haringey london boro,local-authority-eng:HRY,HRY,HRY
harrow,local-authority-eng:HRW,HRW,HRW
harrow london boro,local-authority-eng:HRW,HRW,HRW
hart,local-authority-eng:HAR,HAR,HAR
hart district,local-authority-eng:HAR,HAR,HAR
hart district council,local-authority-eng:HAR,HAR,HAR
hartlepool,local-authority-eng:HPL,HPL,HPL
hartlepool borough council,local-authority-eng:HPL,HPL,HPL
havering,local-authority-eng:HAV,HAV,HAV
havering london boro,local-authority-eng:HAV,HAV,HAV
herefordshire,local-authority-eng:HEF,HEF,HEF
herefordshire council,local-authority-eng:HEF,HEF,HEF
"herefordshire, county of",local-authority-eng:HEF,HEF,HEF
highands,local-authority-sct:HLD,HLD,HLD
highland,local-authority-sct:HLD,HLD,HLD
highlands,local-authority-sct:HLD,HLD,HLD
hillingdon,local-authority-eng:HIL,HIL,HIL
hillingdon london boro,local-authority-eng:HIL,HIL,HIL
hounslow,local-authority-eng:HNS,HNS,HNS
hounslow london boro,local-authority-eng:HNS,HNS,HNS
hull city,local-authority-eng:KHL,KHL,KHL
hull city council,local-authority-eng:KHL,KHL,KHL
inverclyde,local-authority-sct:IVC,IVC,IVC
inverclyde council,local-authority-sct:IVC,IVC,IVC
isle of anglesey,local-authority-wls:AGY,AGY,AGY
isle of anglesey county council,local-authority-wls:AGY,AGY,AGY
isle of wight,local-authority-eng:IOW,IOW,IOW
isle of wight council,local-authority-eng:IOW,IOW,IOW
isles of scilly,local-authority-eng:IOS,IOS,IOS
islington,local-authority-eng:ISL,ISL,ISL
islington london boro,local-authority-eng:ISL,ISL,ISL
kensington and chelsea,local-authority-eng:KEC,KEC,KEC
kensington and chelsea london boro,local-authority-eng:KEC,KEC,KEC
kent,local-authority-eng:KEN,KEN,KEN
kent county,local-authority-eng:KEN,KEN,KEN
kent county council,local-authority-eng:KEN,KEN,KEN
king's lynn and west norfolk,local-authority-eng:KIN,KIN,KIN
king's lynn and west norfolk district,local-authority-eng:KIN,KIN,KIN
kings lynn and west norfolk,local-authority-eng:KIN,KIN,KIN
kingston upon hull,local-authority-eng:KHL,KHL,KHL
kingston upon hull city of,local-authority-eng:KHL,KHL,KHL
"kingston upon hull, city of",local-authority-eng:KHL,KHL,KHL
kingston upon thames,local-authority-eng:KTT,KTT,KTT
kingston upon thames london boro,local-authority-eng:KTT,KTT,KTT
kingston-upon-thames,local-authority-eng:KTT,KTT,KTT
kirklees,local-authority-eng:KIR,KIR,KIR
kirklees council,local-authority-eng:KIR,KIR,KIR
kirklees district,local-authority-eng:KIR,KIR,KIR
knowsley,local-authority-eng:KWL,KWL,KWL
knowsley council,local-authority-eng:KWL,KWL,KWL
knowsley district,local-authority-eng:KWL,KWL,KWL
lambeth,local-authority-eng:LBH,LBH,LBH
lambeth london boro,local-authority-eng:LBH,LBH,LBH
lancashire,local-authority-eng:LAN,LAN,LAN
lancashire county,local-authority-eng:LAN,LAN,LAN
lancashire county council,local-authority-eng:LAN,LAN,LAN
lancaster,local-authority-eng:LAC,LAC,LAC
lancaster city,local-authority-eng:LAC,LAC,LAC
lancaster city council,local-authority-eng:LAC,LAC,LAC
lancaster district,local-authority-eng:LAC,LAC,LAC
leeds,local-authority-eng:LDS,LDS,LDS
leeds city council,local-authority-eng:LDS,LDS,LDS
leeds district,local-authority-eng:LDS,LDS,LDS
leicester,local-authority-eng:LCE,LCE,LCE
leicester city,local-authority-eng:LCE,LCE,LCE
leicester city council,local-authority-eng:LCE,LCE,LCE
leicestershire,local-authority-eng:LEC,LEC,LEC
leicestershire county,local-authority-eng:LEC,LEC,LEC
leicestershire county council,local-authority-eng:LEC,LEC,LEC
lewisham,local-authority-eng:LEW,LEW,LEW
lewisham london boro,local-authority-eng:LEW,LEW,LEW
lincolnshire,local-authority-eng:LIN,LIN,LIN
lincolnshire county,local-authority-eng:LIN,LIN,LIN
lincolnshire county council,local-authority-eng:LIN,LIN,LIN
lisburn and castlereagh,local-authority-nir:LBC,LBC,LBC
lisburn and castlereagh city,local-authority-nir:LBC,LBC,LBC
liverpool,local-authority-eng:LIV,LIV,LIV
liverpool city council,local-authority-eng:LIV,LIV,LIV
liverpool district,local-authority-eng:LIV,LIV,LIV
london borough of barking and dagenham,local-authority-eng:BDG,BDG,BDG
london borough of bexley,local-authority-eng:BEX,BEX,BEX
london borough of brent,local-authority-eng:BEN,BEN,BEN
london borough of bromley,local-authority-eng:BRY,BRY,BRY
london borough of camden,local-authority-eng:CMD,CMD,CMD
london borough of croydon,local-authority-eng:CRY,CRY,CRY
london borough of ealing,local-authority-eng:EAL,EAL,EAL
london borough of enfield,local-authority-eng:ENF,ENF,ENF
london borough of hackney,local-authority-eng:HCK,HCK,HCK
london borough of hammersmith and fulham,local-authority-eng:HMF,HMF,HMF
london borough of haringey,local-authority-eng:HRY,HRY,HRY
london borough of harrow,local-authority-eng:HRW,HRW,HRW
london borough of havering,local-authority-eng:HAV,HAV,HAV
london borough of hillingdon,local-authority-eng:HIL,HIL,HIL
london borough of hounslow,local-authority-eng:HNS,HNS,HNS
london borough of islington,local-authority-eng:ISL,ISL,ISL
london borough of lambeth,local-authority-eng:LBH,LBH,LBH
london borough of lewisham,local-authority-eng:LEW,LEW,LEW
london borough of merton,local-authority-eng:MRT,MRT,MRT
london borough of newham,local-authority-eng:NWM,NWM,NWM
london borough of redbridge,local-authority-eng:RDB,RDB,RDB
london borough of richmond upon thames,local-authority-eng:RIC,RIC,RIC
london borough of southwark,local-authority-eng:SWK,SWK,SWK
london borough of sutton,local-authority-eng:STN,STN,STN
london borough of tower hamlets,local-authority-eng:TWH,TWH,TWH
london borough of waltham forest,local-authority-eng:WFT,WFT,WFT
london borough of wandsworth,local-authority-eng:WND,WND,WND
luton,local-authority-eng:LUT,LUT,LUT
luton borough council,local-authority-eng:LUT,LUT,LUT
manchester,local-authority-eng:MAN,MAN,MAN
manchester city council,local-authority-eng:MAN,MAN,MAN
manchester district,local-authority-eng:MAN,MAN,MAN
medway,local-authority-eng:MDW,MDW,MDW
medway council,local-authority-eng:MDW,MDW,MDW
merthyr tudful,local-authority-wls:MTY,MTY,MTY
merthyr tydfil,local-authority-wls:MTY,MTY,MTY
merthyr tydfil county borough council,local-authority-wls:MTY,MTY,MTY
merthyr tydfil ua,local-authority-wls:MTY,MTY,MTY
merton,local-authority-eng:MRT,MRT,MRT
merton london boro,local-authority-eng:MRT,MRT,MRT
mid and east antrim,local-authority-nir:MEA,MEA,MEA
mid ulster,local-authority-nir:MUL,MUL,MUL
middlesbrough,local-authority-eng:MDB,MDB,MDB
middlesbrough borough council,local-authority-eng:MDB,MDB,MDB
midlothian,local-authority-sct:MLN,MLN,MLN
midlothian council,local-authority-sct:MLN,MLN,MLN
milton keynes,local-authority-eng:MIK,MIK,MIK
milton keynes council,local-authority-eng:MIK,MIK,MIK
monmouthshire,local-authority-wls:MON,MON,MON
monmouthshire county council,local-authority-wls:MON,MON,MON
moray,local-authority-sct:MRY,MRY,MRY
moray council,local-authority-sct:MRY,MRY,MRY
na h-eileanan an iar,local-authority-sct:ELS,ELS,ELS
neath port talbot,local-authority-wls:NTL,NTL,NTL
neath port talbot county borough council,local-authority-wls:NTL,NTL,NTL
newcastle city council,local-authority-eng:NET,NET,NET
newcastle upon tyne,local-authority-eng:NET,NET,NET
newcastle upon tyne district,local-authority-eng:NET,NET,NET
newcastle-under-lyme,local-authority-eng:NED,NED,NED
